Field1,Field2,Field3
1.0 out of 5 stars,Bad quality,"
  Bad quality in 1st wear itself loop stiches came out  ens pockst cloth started getting hole
"
1.0 out of 5 stars,Colour faid in after one wash,"
  Very worst qualityColour faid in after one wash
"
3.0 out of 5 stars,Color difference,"
  Color is not as expected. The piece is like an old one
"
4.0 out of 5 stars,Good,"
  Good cloth and nice fit
"
1.0 out of 5 stars,"Very Poor Fabric quality, looks very old after 2 washes","
  Please Please Dont buy this productAfter 2 washes all cloth is look like 2 yrs old, even road side cloth quality remains good after 5-6 washesIts threads are come out from so many sideTotal waste of money, very unsatisfied with product.....Please dont waste your money......
"
1.0 out of 5 stars,Extremely poor quality material and stitching,"
  Extremely poor quality material. All threads are removed even before I put it on use. Couldn't return because missed the return window. It is always recommend not to buy apparels on Amazon. If you bought something, start wearing it from day one.
"
5.0 out of 5 stars,Value for money.,"
  Good fitting. Nice look.
"
5.0 out of 5 stars,"Perfect fit, well made.","Right now it's hard to get a standard regular fit with all these newfangled design names like ""carrot fit"" which frankly I don't even understand what they are trying to convey.

This is perfect regular fit, with decent stretch material.

Time will tell how well made it is."
2.0 out of 5 stars,"Good at 1st trial,but.......","
  The jeans looked good,were comfortable to wear when tried on.But,when wore for an outing,the elastic-stretch was so weak that it kept slipping down...inspiteof wearing the belt!Disappointed,over-all.Ordered 3 more initially,but,had to cancel the order,regretfully.
"
5.0 out of 5 stars,Perfect,"
  Reading the reviews it was with trepidation that i ordered these jeans. they are very good in terms of thickness of cloth, stitching and finish. Look a lot like Levis, but at an affordable rate.
"
3.0 out of 5 stars,Quality,"
  Quality of stitching is not good. Threads are coming out after first wash. Quality of Denim also not good. It looks like very old like denim which looks after several wash & bleach. I can not return as I lost the tags. I have faced same issue with all three pants I purchased.
"
4.0 out of 5 stars,Thin jeans.,"
  Very thin jeans, of course comfortable. Being streached one size should be one less than usual size. Please mention TC of cloth always, otherwise difficult to understand quality of cloth.
"
4.0 out of 5 stars,"Colors is littke faded, fit and fabric is good.","
   The product is having a share more towards grey than olive green. It goes good with black shirts and dark colors. It is quite long in length as expected. Fit is good. Overall s nice product.
"
5.0 out of 5 stars,Definitely best fitting but quality of material not  good,"
  Fitting is very good but quality of material is below average. Within 4 to 6 months jeans start to loose shine, colour and also threads starts to come out.
"
3.0 out of 5 stars,Under expectations.,"
  Same size 32 and same brand  jeans but look the difference light blue color jeans is little smaller in fitting and height is also smaller. Didn't aspect this from you.
"
5.0 out of 5 stars,superb...worth buying,"
  studio nexx is a standard brand ...no cheating and always the products are too good ....this one is also very nice.
"
2.0 out of 5 stars,Good fitting poor quality,"
  The colour fades off after the first wash. While washing  do not mix it with other light shades of clothes as all of them will be ruined
"
4.0 out of 5 stars,light green jeans,"
  material is good. color as expected and as shown on amazon. size is a little too large than the size ordered. carries a tag of 36'' as ordered, but it is closer to 37'' and  not possible to have it altered because of the design.
"
3.0 out of 5 stars,Ok Jeans,"
  The jeans even though they were regular stretch fit it was clinging to the thighs.  The waist etc were perfect.The colour is yet to be tested
"
2.0 out of 5 stars,Bad quality product,"
   Quality is very poor, even before first wash the fabric became rough as shown in video.
"
5.0 out of 5 stars,Good brand and great stuff!!,"
  Pleasant experience to get a decent jeans at a great price. All the best to Studio Nexx.
"
1.0 out of 5 stars,No one should make a second purchase of this particular brand.,"
  First I bought a pant of this brand which was brilliant so I opted to buy another. Second one I received is horrible. Material, stitching , size, comfort-all are bad. Length is also smaller.I am disappointed.
"
4.0 out of 5 stars,Value for money,"
  Value for money product . Good fabric at this price . Good for regular rough use.
"
4.0 out of 5 stars,A good product at this price.,"
  I shaped the jeans a little bit with the help of a tailor.Jeans get faded easily after 2 or 3 use due to the dirt accumulated on the material, buy which have to wash it before another use.
"
4.0 out of 5 stars,Comfortable  and colour is fine,"
  Fine and comfortable when travelling and worthy at this price , Colour also good
"
3.0 out of 5 stars,Studio Nexx Jeans Regular fit,"
  The fabric is very thin as compared to branded jeans of Lee, Pepe etc. The fitting is of average quality. The fabric doesn't strech as much as expected. You should opt for this product only if don't want to spend a high price. If better fit provided at this price then it will be value for money.
"
2.0 out of 5 stars,Color is not same but fitting is good,"
  The color is too fade compared to shown in product display.  Also the cloth feeling  is not same as shown in display.  However, I am not returning the item.
"
4.0 out of 5 stars,Good product,"
  Overall it is a good product at the price, but the color was not the same as expected.
"
5.0 out of 5 stars,Amazing jeans,"
  Product is amazing. I lost a few kilos of weight so had to get it altered. Ordered another one in 2 sizes less and man size 42 fits like magic
"
5.0 out of 5 stars,Super,"
  Is good prodect
"
1.0 out of 5 stars,Unsatisfied,"
  The stuff quality is so poor. According to price it is nothing.  I was believed in amazon's services and quality . But this time I am fully unsatisfied for this jeans. In chandigarh market this type of jeans found only in 300- 350.
"
5.0 out of 5 stars,Comfort at its best,"
  Great value for money. Great fit comfort and looks. Loving it
"
3.0 out of 5 stars,Good stretch jeans for the price,"
  The material is good for what we pay. The fabric stretches well but the rise is too low than it was previously from the same brand.
"
4.0 out of 5 stars,Average,"
  Stretchable material is ok but colour is very light
"
1.0 out of 5 stars,waste of money and time,"
  It Looks Totally Different On Real...i mean the colour was totally different , i ordered brown but they deliverd very light colour it was totally waste of money and time very very very worst dress that i purchased ever
"
5.0 out of 5 stars,True value for money.,"
  This jeans is most comfortable. I usually purchase 44 waist but in this product I purchase 40. And it fits perfectly because the stuff is highly stretchable.
"
1.0 out of 5 stars,Worst Jeans,"
  Very bad product... Clolor came off in first wash only. Not at all recommended. Wants to return this but I used it 1 month later of buying hence can't return also.
"
1.0 out of 5 stars,Felt like a used jeans,"
  I felt this like a used jeans. Its because the thread came of the cloth, particularly in pocket, which will be result of a normal use by someone. Stitching is also very ordinary and thread is out there as well. If i haven't cut the stickers, i would have send it back for refund.
"
2.0 out of 5 stars,Not as expected,"
  Colour is not same as shown in the picture, fittings and quality not as expected and the price range is too high. You can get much more best quality in local markets in this price range.
"
1.0 out of 5 stars,Shrink after  wash- unable to use,"
  I got the item yesterday(on 28.10.2020). For use I washed the item(Olive Green) today. I surprised that after washing the item shrink remarkably into short size and not in a position to use for me. I did not expect this and I lost my money
"
5.0 out of 5 stars,Nice quality,"
  Nice but little bit loose..Ex. If you have weist size 40 then order 38.
"
3.0 out of 5 stars,Thish items is very good,"
  Thish items is very good and comfort and value of money
"
5.0 out of 5 stars,Nice one,"
  Good one ,fit perfectly, meterial seems ok
"
5.0 out of 5 stars,Very happy,"
  very happy with product quality and stretchable fitting
"
5.0 out of 5 stars,Awesome product,"
  Absolutely awesome product, got it, has seen in advertising, soomth, regular stretchable, high standards of quality.i will surely reorder & recommend others to buy from you 👍👍👍👍👍
"
5.0 out of 5 stars,So comfortable and soft fabric,"
   So comfortable and soft fabric
"
1.0 out of 5 stars,Used product received!!!,"
  This was the first experience on Amazon for clothes..The product that come to me is a used product..My product was not that good...
"
5.0 out of 5 stars,Best,"
  Good febric,good fitting.
"
2.0 out of 5 stars,Poor stitching quality,"
  The quality of the waist button was very poor. Came out during wearing. Cloth material and stitching is also poor. Highly recommend not to buy unless you are willing to heavily compromise
"
1.0 out of 5 stars,Don't buy,"
  It looks very ordinary and cheap quality fabric. Size and fitting is ok.
"
4.0 out of 5 stars,Review,"
  Comfortable, nice to wear
"
1.0 out of 5 stars,Colour out  wash,"
  Colour out after wash
"
5.0 out of 5 stars,Comfortable and fit,"
  Though Quality is not good, but I liked it and very much comfortable to me. At this affordable price we can wear atleast for two years.
"
1.0 out of 5 stars,Size is not according to the size chart,"
  This brand is not according to the size chart given in it. So I am returning this product. Please provided correct measurement chart.
"
5.0 out of 5 stars,Great,"
  Great Product
"
4.0 out of 5 stars,Don't take as a price it's really very comfort...in such price rate...,"
  Like...very comfortable go for it
"
5.0 out of 5 stars,Worth buying,"
  Very comfortable and really good
"
2.0 out of 5 stars,"Stitching quality is not good, emerging out (Like from the back pocket)","
  Main issue is wiht stiching, recd. the same jean of which stitching is emerging out from the back pockets & may be this problem will get increased after 1 or 2 wash as stitch quality is very poor. not a good taste with this product.
"
5.0 out of 5 stars,Very good,"
  Amazing as per the price.
"
5.0 out of 5 stars,Excellent and satisfactory,"
  Nothing to dislike. Fabrics and fittings everything is very fine. So I have no complaint against it.
"
4.0 out of 5 stars,Good product. Size is appropriate..Feel is good.,"
  Good product. Size is appropriate..Feel is good.
"
1.0 out of 5 stars,WORST QUALITY EVER,"
  Poor quality never expected this very very poor quality the best option is to give the jeans money to beggar dont buy this ..one of the worst product i have seen
"
5.0 out of 5 stars,Best quality,"
  Fitting is perfect but colour is too light.
"
4.0 out of 5 stars,Good Product with Price ₹649.,"
  Good Product, But After wash it come close. Colour is OK. You Can Order 1 size large Product of your Need.
"
5.0 out of 5 stars,Nice,"
  Awesome
"
5.0 out of 5 stars,Good fit but after few washes extra one sizes will be felt,"
  Expected to be green but so lighter 😢
"
5.0 out of 5 stars,worth for money,"
  Colors fitting all too good, liked it.
"
5.0 out of 5 stars,Value for money,"
  Perfect fit. Comfortable feel. Good quality material.
"
1.0 out of 5 stars,Quality very bad,"
  Quality very bad
"
3.0 out of 5 stars,Good material,"
  It's delivered very fast. But not fit so good. Bit tight on legs.
"
3.0 out of 5 stars,Good,"
  Good
"
5.0 out of 5 stars,Ok,"
  Ok
"
1.0 out of 5 stars,Worst product like very old piece.,"
  Look like very old one. Return and refund  got after minus 70 rupees as transport cost
"
4.0 out of 5 stars,Nice,"
  Good
"
5.0 out of 5 stars,Good quality jeans,"
  Best in colour best in fitting overall good quality jeans
"
5.0 out of 5 stars,It is really very good & perfect product. I will buy it again. Thanks  to amazon.,"
  It is really very good & perfect  product . I will buy it again. Thanks to amazon.
"
5.0 out of 5 stars,Exactly as shown,"
  It looks and feels good. Meets you expectations. Nice texture and stretch. Recommended!
"
1.0 out of 5 stars,Colour is not like in the picture... Its too fade,"
  Fade colour... Not like in the picture
"
5.0 out of 5 stars,Value of money. Light weight. Very comfortable & stretchable,"
  Value of moneyMaterial quality very good
"
4.0 out of 5 stars,Happy,"
  Happy
"
5.0 out of 5 stars,Very good product,"
  Very good product.value for money.
"
4.0 out of 5 stars,Good stuff,"
  Good stuff. Good fabric, make. Reordered the product with full satisfaction and confidence
"
4.0 out of 5 stars,Good product,"
  Satisfactory product at this price. Can't expect a big brand quality for this price but won't disappoint at all. Happy with the trial purchase . Thanks Amazon
"
5.0 out of 5 stars,Nice product,"
  I like to see this in cheap price.  Good fitting
"
3.0 out of 5 stars,After few wash it looks like very old jeans,"
  Not trusted don't buy.i was buy it's very olive color.but now look at this .I m so disappointed 😞😞.
"
1.0 out of 5 stars,THEY ARE SENDING WRONG PATTERN AND WRONG SIZE PANTS,"
  The pant, I received is too small and tight.Also not as per the specifications and looks as reflected at the website.
"
3.0 out of 5 stars,Nice and Comfortable,"
  Fits Nicely and Comfortable to wear But feel of cloth is somewhat rough maybe it will smooth up after washing. Overall nice product
"
3.0 out of 5 stars,"If the stitching would have been better, then this would make a fine product.","
  It's made of good elastic material. But the stitching is poor.
"
1.0 out of 5 stars,Very bad,"
  Very bad
"
5.0 out of 5 stars,Good,"
  Ok
"
3.0 out of 5 stars,So Good item,"
  Good item received, great experience, thanks to amazon and seller .
"
1.0 out of 5 stars,Very BAD Quality,"
  Bad Quality Material, After 1 wash color fade and pocket stitches broke, waste of money.
"
5.0 out of 5 stars,Little loosen but comfortable 👍,"
  Little loos but comfortable
"
1.0 out of 5 stars,Fabric Quality very Cheap,"
  Not Worth. Quality of Fabric is not good.
"
5.0 out of 5 stars,Good,"
  Comfortable. Durable. Quality is good as per price.
"
